<<<<<<< HEAD
﻿1;1;Sun;;;;;;;;
2;2;Mon;u;;;;;;;6:24
3;3;Tue;u;;;;;;;6:24
4;4;Wed;u;;;;;;;6:24
5;5;Thu;u;;;;;;;6:24
6;6;Fri;u;;;;;;;6:24
7;7;Sat;;;;;;;;
8;1;Sun;;;;;;;;
9;2;Mon;;7:00;11:00;12:00;14:40;;;7:00
10;3;Tue;;7:10;11:45;12:25;15:30;;;8:00
11;4;Wed;;7:00;10:10;12:00;15:30;;;7:00
12;5;Thu;;7:00;12:00;13:00;15:40;;;8:00
13;6;Fri;;7:00;9:34;;;;;2:34
14;7;Sat;;;;;;;;
15;1;Sun;;;;;;;;
16;2;Mon;z;;;;;;;0:00
17;3;Tue;;7:00;11:45;12:35;15:30;;;8:00
18;4;Wed;;7:00;11:40;12:10;15:10;;;8:00
19;5;Thu;;7:00;11:30;12:00;15:10;;;8:00
20;6;Fri;;7:00;11:30;12:00;16:10;;;9:00
21;7;Sat;;;;;;;;
22;1;Sun;;;;;;;;
23;2;Mon;u;;;;;;;6:24
24;3;Tue;u;;;;;;;6:24
25;4;Wed;u;;;;;;;6:24
26;5;Thu;u;;;;;;;6:24
27;6;Fri;u;;;;;;;6:24
28;7;Sat;;;;;;;;
29;1;Sun;;;;;;;;
30;2;Mon;;7:00;12:00;12:50;16:50;;;9:20
=======
﻿1;1;Sun;;;;;;;;
2;2;Mon;u;;;;;;;6:24
3;3;Tue;u;;;;;;;6:24
4;4;Wed;u;;;;;;;6:24
5;5;Thu;u;;;;;;;6:24
6;6;Fri;u;;;;;;;6:24
7;7;Sat;;;;;;;;
8;1;Sun;;;;;;;;
9;2;Mon;;7:00;11:00;12:00;14:40;;;7:00
10;3;Tue;;7:10;11:45;12:25;15:30;;;8:00
11;4;Wed;;7:00;10:10;12:00;15:30;;;7:00
12;5;Thu;;7:00;12:00;13:00;15:40;;;8:00
13;6;Fri;;7:00;9:34;;;;;2:34
14;7;Sat;;;;;;;;
15;1;Sun;;;;;;;;
16;2;Mon;z;;;;;;;0:00
17;3;Tue;;7:00;11:45;12:35;15:30;;;8:00
18;4;Wed;;7:00;11:40;12:10;15:10;;;8:00
19;5;Thu;;7:00;11:30;12:00;15:10;;;8:00
20;6;Fri;;7:00;11:30;12:00;16:10;;;9:00
21;7;Sat;;;;;;;;
22;1;Sun;;;;;;;;
23;2;Mon;u;;;;;;;6:24
24;3;Tue;u;;;;;;;6:24
25;4;Wed;u;;;;;;;6:24
26;5;Thu;u;;;;;;;6:24
27;6;Fri;u;;;;;;;6:24
28;7;Sat;;;;;;;;
29;1;Sun;;;;;;;;
30;2;Mon;;7:00;12:00;12:50;16:50;;;9:20
>>>>>>> ac3cc4f96e5614bbf02330ebf790b595b728d9ae
